page_url,request_url,form_method,payload_type,payload,resp_length_base,status_code_base,resp_time_base,has_sql_error_base,has_script_tag_base,resp_length_probe,status_code_probe,resp_time_probe,has_sql_error_probe,has_script_tag_probe,len_diff,status_changed,resp_time_diff,has_text_diff,probe_reflected,label
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,test' OR '1'='1,5739,200,0.0673513412475586,1,1,5739,200,0.0530295372009277,1,1,0,0,-0.0143218040466308,1,0,1
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,' OR 1=1 -- ,5739,200,0.0673513412475586,1,1,5739,200,0.0437934398651123,1,1,0,0,-0.0235579013824462,1,0,1
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,sqli,""" OR """"=""""",5739,200,0.0673513412475586,1,1,5739,200,0.0674424171447753,1,1,0,0,9.107589721679688e-05,1,0,1
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,xss,<script>alert(1)</script>,5739,200,0.0673513412475586,1,1,5739,200,0.0608909130096435,1,1,0,0,-0.006460428237915,1,0,1
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,xss,<img src=1 onerror=alert(1)>,5739,200,0.0673513412475586,1,1,5739,200,0.0391662120819091,1,1,0,0,-0.0281851291656494,1,0,1
http://127.0.0.1/dvwa/setup.php,http://127.0.0.1/dvwa/setup.php,POST,lfi,../../../../etc/passwd,5739,200,0.0673513412475586,1,1,5739,200,0.028519868850708,1,1,0,0,-0.0388314723968505,1,0,1
http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,sqli,test' OR '1'='1,4347,200,0.0041201114654541,1,1,4347,200,3.006225824356079,1,1,0,0,3.002105712890625,1,0,1
http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,sqli,' OR 1=1 -- ,4347,200,0.0041201114654541,1,1,4347,200,0.0040340423583984,1,1,0,0,-8.606910705566406e-05,1,0,1
http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,sqli,""" OR """"=""""",4347,200,0.0041201114654541,1,1,4347,200,2.010161876678467,1,1,0,0,2.0060417652130127,1,0,1
http://127.0.0.1/dvwa/vulnerabilities/brute/,http://127.0.0.1/dvwa/vulnerabilities/brute/,GET,xss,<script>alert(1)</script>,4347,200,0.0041201114654541,1,1,4347,200,3.00427794456482,1,1,0,0,3.000157833099365,1,0,1
